nm,0,1
418,91.51,91.28
417,91.54,91.23
416,91.52,91.23
415,91.51,91.23
414,91.5,91.2
413,91.46,91.22
412,91.43,91.21
411,91.45,91.2
410,91.43,91.21
409,91.44,91.19
408,91.48,91.19
407,91.48,91.16
406,91.47,91.15
405,91.45,91.17
404,91.41,91.18
403,91.38,91.12
402,91.39,91.12
401,91.39,91.16
400,91.36,91.12
399,91.39,91.1
398,91.37,91.07
397,91.35,91.05
396,91.37,91.06
395,91.37,91.05
394,91.35,91.05
393,91.38,91.06
392,91.3,91.02
391,91.35,90.97
390,91.33,90.96
389,91.32,90.99
388,91.28,90.98
387,91.28,91.01
386,91.3,90.96
385,91.29,90.96
384,91.23,90.95
383,91.27,90.92
382,91.23,90.94
381,91.26,90.84
380,91.18,90.88
379,91.18,90.87
378,91.23,90.89
377,91.21,90.86
376,91.21,90.85
375,91.18,90.82
374,91.14,90.77
373,91.1,90.72
372,91.06,90.67
371,91.02,90.63
370,91,90.6
369,91.13,90.67
368,91.13,90.68
367,91.1,90.68
366,91.1,90.68
365,91.12,90.65
364,91.06,90.64
363,91.04,90.6
362,91.02,90.58
361,90.97,90.59
360,90.96,90.54
359,90.91,90.53
358,90.91,90.5
357,90.93,90.49
356,90.92,90.46
355,90.87,90.41
354,90.85,90.42
353,90.87,90.37
352,90.89,90.34
351,90.85,90.29
350,90.78,90.31
349,90.74,90.2
348,90.73,90.24
347,90.72,90.2
346,90.71,90.15
345,90.71,90.17
344,90.68,90.1
343,90.67,90.09
342,90.69,90.06
341,90.6,90.02
340,90.59,89.98
339,90.53,89.97
338,90.49,89.92
337,90.47,89.88
336,90.5,89.86
335,90.46,89.85
334,90.4,89.82
333,90.4,89.78
332,90.35,89.75
331,90.34,89.73
330,90.28,89.67
329,90.24,89.6
328,90.28,89.56
327,90.17,89.52
326,90.12,89.52
325,90.15,89.4
324,90.12,89.41
323,90.08,89.34
322,90.03,89.31
321,89.99,89.26
320,89.99,89.24
319,89.97,89.2
318,89.92,89.17
317,89.97,89.22
316,89.96,89.18
315,89.96,89.12
314,89.9,89.09
313,89.83,89.05
312,89.83,88.94
311,89.8,88.93
310,89.75,88.89
309,89.73,88.83
308,89.67,88.8
307,89.63,88.75
306,89.62,88.67
305,89.54,88.6
304,89.48,88.52
303,89.44,88.44
302,89.36,88.38
301,89.33,88.32
300,89.28,88.22
299,89.23,88.14
298,89.16,88.06
297,89.11,87.99
296,89.01,87.91
295,88.94,87.82
294,88.9,87.74
293,88.83,87.68
292,88.78,87.58
291,88.75,87.47
290,88.76,87.42
289,88.7,87.35
288,88.59,87.27
287,88.54,87.18
286,88.51,87.1
285,88.45,87.03
284,88.34,86.94
283,88.27,86.87
282,88.21,86.75
281,88.12,86.67
280,88.06,86.61
279,88.01,86.49
278,87.94,86.36
277,87.87,86.26
276,87.81,86.17
275,87.7,86.05
274,87.63,85.91
273,87.57,85.81
272,87.48,85.68
271,87.38,85.55
270,87.28,85.43
269,87.2,85.3
268,87.11,85.21
267,87,85.05
266,86.91,84.9
265,86.81,84.77
264,86.68,84.61
263,86.59,84.46
262,86.49,84.32
261,86.36,84.14
260,86.23,83.95
259,86.08,83.8
258,85.96,83.62
257,85.85,83.45
256,85.71,83.27
255,85.55,83.08
254,85.41,82.88
253,85.27,82.66
252,85.15,82.47
251,84.98,82.26
250,84.78,82.01
249,84.59,81.78
248,84.41,81.55
247,84.23,81.32
246,84.04,81.05
245,83.83,80.81
244,83.63,80.55
243,83.42,80.25
242,83.21,80
241,83,79.71
240,82.77,79.41
239,82.54,79.12
238,82.32,78.85
237,82.09,78.53
236,81.85,78.23
235,81.62,77.95
234,81.37,77.64
233,81.11,77.31
232,80.82,76.93
231,80.57,76.57
230,80.26,76.21
229,79.96,75.84
228,79.66,75.46
