"Wavelength, µm","n"
0.34859,1.432926
0.35012,1.432772
0.351657,1.432621
0.353201,1.43247
0.354751,1.432321
0.356309,1.432174
0.357873,1.432028
0.359444,1.431883
0.361022,1.43174
0.362607,1.431598
0.364198,1.431458
0.365797,1.431318
0.367403,1.431181
0.369016,1.431045
0.370636,1.43091
0.372263,1.430776
0.373897,1.430644
0.375538,1.430513
0.377187,1.430383
0.378843,1.430254
0.380506,1.430127
0.382176,1.430001
0.383854,1.429876
0.385539,1.429752
0.387232,1.429629
0.388931,1.429508
0.390639,1.429388
0.392354,1.429269
0.394076,1.429151
0.395806,1.429034
0.397544,1.428919
0.399289,1.428804
0.401042,1.42869
0.402802,1.428578
0.40457,1.428466
0.406346,1.428356
0.40813,1.428247
0.409922,1.428139
0.411721,1.428032
0.413529,1.427926
0.415344,1.42782
0.417167,1.427716
0.418999,1.427613
0.420838,1.42751
0.422686,1.42741
0.424541,1.427309
0.426405,1.42721
0.428277,1.427112
0.430157,1.427014
0.432045,1.426918
0.433942,1.426822
0.435847,1.426727
0.43776,1.426633
0.439682,1.42654
0.441612,1.426448
0.443551,1.426357
0.445498,1.426267
0.447453,1.426177
0.449418,1.426088
0.451391,1.426
0.453372,1.425913
0.455362,1.425827
0.457361,1.425742
0.459369,1.425657
0.461386,1.425573
0.463411,1.42549
0.465446,1.425408
0.467489,1.425326
0.469541,1.425246
0.471602,1.425166
0.473673,1.425086
0.475752,1.425008
0.477841,1.42493
0.479938,1.424853
0.482045,1.424776
0.484161,1.4247
0.486287,1.424626
0.488421,1.424552
0.490566,1.424478
0.492719,1.424405
0.494882,1.424333
0.497055,1.424261
0.499237,1.42419
0.501428,1.42412
0.503629,1.424051
0.50584,1.423982
0.508061,1.423913
0.510291,1.423846
0.512531,1.423778
0.514781,1.423712
0.517041,1.423646
0.519311,1.423581
0.521591,1.423516
0.52388,1.423452
0.52618,1.423389
0.52849,1.423326
0.53081,1.423263
0.53314,1.423201
0.535481,1.423141
0.537831,1.42308
0.540192,1.42302
0.542564,1.422961
0.544946,1.422902
0.547338,1.422843
0.549741,1.422785
0.552154,1.422727
0.554578,1.422671
0.557012,1.422615
0.559458,1.422559
0.561914,1.422504
0.56438,1.422449
0.566858,1.422394
0.569346,1.42234
0.571846,1.422287
0.574356,1.422235
0.576877,1.422182
0.57941,1.42213
0.581953,1.422079
0.584508,1.422028
0.587074,1.421977
0.589651,1.421927
0.59224,1.421878
0.59484,1.421829
0.597451,1.42178
0.600074,1.421732
0.602708,1.421684
0.605354,1.421636
0.608011,1.42159
0.61068,1.421543
0.613361,1.421497
0.616054,1.421452
0.618758,1.421406
0.621475,1.421361
0.624203,1.421317
0.626943,1.421273
0.629695,1.421229
0.632459,1.421186
0.635236,1.421143
0.638025,1.421101
