"Wavelength, µm","T"
0.141395,0.8705605023666338
0.142015,0.8724201553631321
0.142639,0.8742628684502723
0.143265,0.8760993165830474
0.143894,0.8777776026499525
0.144525,0.8784161435416994
0.14516,0.8790292872325987
0.145797,0.8796230932912127
0.146437,0.880199267329783
0.14708,0.8808430358366909
0.147726,0.8817903635086691
0.148374,0.8827342658073081
0.149026,0.8836563246891006
0.14968,0.8845730264406919
0.150337,0.885472909351635
0.150997,0.8863628019228937
0.15166,0.8872379347192552
0.152325,0.8879091284249678
0.152994,0.8885618028972352
0.153666,0.8892028006772659
0.15434,0.8898267969620627
0.155018,0.8904442734982412
0.155698,0.8910475410885035
0.156382,0.8917977236452335
0.157068,0.893029297044223
0.157758,0.8942526445204244
0.15845,0.8954694750928516
0.159146,0.896673527385432
0.159845,0.8978654671224269
0.160546,0.8989645950577059
0.161251,0.9000341213241458
0.161959,0.9010958657041461
0.16267,0.9021468146851936
0.163384,0.9031108192918997
0.164101,0.9036592260999498
0.164822,0.9041951710411699
0.165545,0.9047165212799787
0.166272,0.9052296301887559
0.167002,0.9057354024909733
0.167735,0.9062343396307829
0.168471,0.9067264553780049
0.169211,0.9072120825369463
0.169954,0.9076866069334433
0.1707,0.9081553583179968
0.171449,0.9086231023842438
0.172202,0.9090801526079214
0.172958,0.9095319498309464
0.173717,0.9099782632979762
0.17448,0.9104142514616717
0.175246,0.9108502004941937
0.176015,0.9112860645250219
0.176788,0.9117123779041041
0.177564,0.9121339880034858
0.178343,0.9125509062327969
0.179126,0.9129634431023904
0.179912,0.9133667639735644
0.180702,0.9137710088054299
0.181496,0.914171379578014
0.182292,0.9145642568279991
0.183093,0.9148631387406625
0.183896,0.9151524427916966
0.184704,0.9154375420037383
0.185514,0.9157185332069591
0.186329,0.9159960541274759
0.187147,0.9162700116061233
0.187968,0.9165358158982584
0.188793,0.9168073108384951
0.189622,0.9170666329951617
0.190455,0.9173227396392062
0.191291,0.917580112316777
0.192131,0.9178299793822994
0.192974,0.9180813268514483
0.193821,0.9183299220423101
0.194672,0.9185710809486657
0.195527,0.9188092928318212
0.196385,0.9190449997596678
0.197247,0.9192777688987456
0.198113,0.9195122194051482
0.198983,0.9197398256245665
0.199856,0.9199649455541626
0.200733,0.9201873840822294
0.201615,0.9204074224732102
0.2025,0.9206204626829461
0.203389,0.920835614619065
0.204282,0.9210440889109616
0.205178,0.9212543715117447
0.206079,0.9214625096436457
0.206984,0.9216684700644701
0.207892,0.9218680411567897
0.208805,0.9220652732351596
0.209722,0.9222645185041728
0.210642,0.9224574383516544
0.211567,0.9226526156467879
0.212496,0.9228374480049395
0.213429,0.9230283493933377
0.214365,0.9232132470997658
0.215307,0.923396333339728
0.216252,0.9235772785329349
0.217201,0.9237565928818519
0.218155,0.9239378268963694
0.219112,0.9241091830922062
0.220074,0.9242829394216958
0.22104,0.9244548388933479
0.222011,0.9246249130988121
0.222985,0.9247891981637069
0.223964,0.9249558266668667
0.224947,0.9251206099251558
0.225935,0.9252801911124845
0.226927,0.9254418092831972
0.227923,0.9256015905886126
0.228923,0.925760011560413
0.229928,0.9259092712947333
0.230938,0.9260643521932469
0.231951,0.9262142905896588
0.23297,0.926366472102082
0.233992,0.92651354830864
0.23502,0.9266588862976347
0.236051,0.9268065901365109
0.237088,0.9269456290716819
0.238128,0.9270904731165238
0.239174,0.9272301366810197
0.240224,0.9273684976988807
0.241278,0.9275055587438645
0.242337,0.9276413441506264
0.243401,0.9277756198491821
0.24447,0.9279088591416483
0.245543,0.9280370083579613
0.246621,0.9281712511077346
0.247703,0.9282968755597716
0.248791,0.9284250394064874
0.249883,0.9285516850224951
0.25098,0.9286773054096288
0.252082,0.9287984287326896
0.253188,0.9289180699972786
0.2543,0.9290433926021715
0.255416,0.929161025197822
0.256537,0.929277435417218
0.257664,0.9293960433382928
0.258795,0.9295133850124649
0.259931,0.9296265788266751
0.261072,0.9297385567995713
0.262218,0.9298493206068661
0.263369,0.9299626701647489
0.264525,0.9300714658186724
0.265687,0.9301793033039678
0.266853,0.9302861510618309
0.268024,0.9303917927561639
0.269201,0.9304999733927711
0.270383,0.9306039128221432
0.27157,0.930706650661557
0.272762,0.9308086573337097
0.273959,0.9309096999696975
0.275162,0.931006371012204
0.27637,0.931108694416789
0.277583,0.9312071026588072
0.278802,0.9313043328168727
0.280025,0.9313976906095418
0.281255,0.93149327005596
0.282489,0.9315878817056488
0.28373,0.9316815681040622
0.284975,0.9317714414773581
0.286226,0.9318667771211263
0.287483,0.9319550390543084
0.288745,0.9320454231780683
0.290012,0.9321320656659986
0.291285,0.9322210533749516
0.292564,0.9323061065461659
0.293848,0.9323932353136435
0.295138,0.9324766913117056
0.296434,0.9325624452489049
0.297735,0.932644542255545
0.299042,0.9327257401901919
0.300355,0.9328092012386873
0.301674,0.9328890582258335
0.302998,0.932970910817443
0.304328,0.9330520770481096
0.305664,0.9331299133311135
0.307006,0.9332068568159394
0.308354,0.9332831417319496
0.309707,0.9333587587145842
0.311067,0.9334365583390959
0.312432,0.9335108512406673
0.313804,0.9335844996444668
0.315182,0.9336574943545851
0.316565,0.9337298267034503
0.317955,0.93380151710795
0.319351,0.9338725567819413
0.320753,0.933942946723039
0.322161,0.9340126879330527
0.323575,0.9340817814176966
0.324995,0.934150460938286
0.326422,0.9342185034823439
0.327855,0.9342859010403805
0.329294,0.9343526546361522
0.33074,0.9344161103605475
0.332192,0.9344818313784913
0.33365,0.9345469111847409
0.335115,0.9346115914628212
0.336586,0.9346753998283506
0.338063,0.934736428238151
0.339547,0.9347966170634744
0.341038,0.9348587835775259
0.342535,0.9349179736716492
0.344039,0.9349791206440312
0.345549,0.9350398659867063
0.347066,0.9350976780292714
0.34859,0.935157183762819
0.35012,0.9352140045895256
0.351657,0.935272498867177
0.353201,0.9353308349896293
0.354751,0.9353860567598223
0.356309,0.9354431608181951
0.357873,0.9354974057317428
0.359444,0.935551284604861
0.361022,0.9356070090719995
0.362607,0.9356599151165422
0.364198,0.9357146407613387
0.365797,0.9357668087633438
0.367403,0.9358157488098905
0.369016,0.9358691290741689
0.370636,0.9359197465955666
0.372263,0.9359700031925283
0.373897,0.936022027661168
0.375538,0.9360713223249784
0.377187,0.9361202637361236
0.378843,0.9361688467058511
0.380506,0.9362191596404943
0.382176,0.9362667859569682
0.383854,0.9363140612525361
0.385539,0.9363609806555585
0.387232,0.9364052703982643
0.388931,0.9364512581488951
0.390639,0.9364991622260491
0.392354,0.9365444430111096
0.394076,0.9365893709983167
0.395806,0.9366339517681298
0.397544,0.9366779542873842
0.399289,0.9367218373089833
0.401042,0.9367653746950682
0.402802,0.9368083308386131
0.40457,0.9368489909257455
0.406346,0.9368912680403975
0.40813,0.9369332016476287
0.409922,0.9369747922583554
0.411721,0.9370138905633496
0.413529,0.9370548060769793
0.415344,0.9370956071736483
0.417167,0.937135836109845
0.418999,0.9371757288699435
0.420838,0.9372134094797193
0.422686,0.937250310566652
0.424541,0.9372894306790646
0.426405,0.9373279852523605
0.428277,0.937366202030568
0.430157,0.9374022583477958
0.432045,0.9374398100646255
0.433942,0.9374772604352982
0.435847,0.9375123472612762
0.43776,0.937547116457979
0.439682,0.937583582297847
0.441612,0.9376177123511763
0.443551,0.9376535224154257
0.445498,0.9376889992345747
0.447453,0.9377223987425387
0.449418,0.9377574569921345
0.451391,0.9377902249222763
0.453372,0.9378226786264638
0.455362,0.9378548217858987
0.457361,0.9378885879141294
0.459369,0.9379203335206262
0.461386,0.9379536860609081
0.463411,0.9379848016417272
0.465446,0.9380175114008029
0.467489,0.9380463409062233
0.469541,0.9380784148566836
0.471602,0.9381085204243461
0.473673,0.938138552397738
0.475752,0.9381699028105838
0.477841,0.938199313198
0.479938,0.9382284146517496
0.482045,0.9382592787025281
0.484161,0.9382861674808473
0.486287,0.9383143580264002
0.488421,0.9383442830232365
0.490566,0.9383723205360818
0.492719,0.9384000514578005
0.494882,0.9384274812822369
